name,whisky_type,concentration,rating,review_count,price,description
Ichiro's Malt Double Distilleries 2021,Blended Malt Japanese Whisky,70cl / 53.5%,2,1,£299,"Ichiro's Malt Double Distilleries 2021 is a Japanese blended malt whisky, born from a collaboration between Chichibu and Komagatake distilleries. Matured in a combination of ex-bourbon, American white oak and ex-sherry casks, it holds aromas of caramel, old books, mango, pineapple and orange that fill the nose, complemented by notes of banana, pineapple, mango, sea salt and vanilla throughout the palate."
Suntory Hibiki Harmony,Japanese Blended WhiskyDistillery Bottling,70cl / 43%,4,57,£76.95,"Hibiki Japanese Harmony is a blend of Japanese malt and grain whiskies from Yamazaki, Hakushu and Chita. Presented in the brand's trademark 24-faceted bottle representing the Japanese seasons, this is light, approachable and moreish with enticing notes of orange peel and white chocolate."
Yamazaki 12 Year Old,Japanese Single Malt Whisky,70cl / 43%,4.5,94,£150,"One of the first Japanese single malts to break into the UK market, Suntory's Yamazaki 12 Year Old continues to impress with its well-balanced fruity sweetness, something that appeals to novice and experienced whisky drinkers alike."
Yamazaki 18 Year Old,Japanese Single Malt Whisky,70cl / 43%,5,39,£950,"A wonderful example of what Japanese whisky is capable of. We absolutely love this. Extremely smooth, with great complexity and a lovely balance of fruit, silky malt and a touch of smoke."
Yamazaki Distiller's Reserve,Japanese Single Malt Whisky,70cl / 43%,4.5,54,£72.95,"A fresh and fruity whisky from Yamazaki, full of red fruit and a touch of sherry cask. It's also got some mizunara (Japanese oak) matured whisky in the mix, which comes through as a complex spicy and almost incense-like note. A well put together and deep dram."
Nikka Coffey Grain Whisky,Japanese Single Grain Whisky,70cl / 45%,4.5,52,£57.95,"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies."
Shizuoka Contact S Single Malt3 Year Old,Single Malt Japanese WhiskyDistillery Bottling,70cl / 55.5%,no rating,0,£175,"The third whisky to come out of Shizuoka distillery, Contact S is made with a combination of whisky from its ex-Karuizawa pot still and its wood-fired pot still, and matured for three years in first-fill bourbon and quarter casks. Aromas of apple juice, ripe mangoes, cream, caramel and buttered toast fill the nose, complemented by notes of rich tea biscuits, stewed apples, croissants, caramel, sea salt, dark chocolate and black tea throughout the palate."
Hakushu Distiller's Reserve,Japanese Single Malt Whisky,70cl / 43%,4.5,28,£70.95,"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour."
The Chita Whisky,Japanese Single Grain WhiskyDistillery Bottling,70cl / 43%,4.5,42,£51.95,"Chita is Suntory's grain distillery. The flagship release is aged in a combination of wine, sherry and bourbon casks. This is a light whisky with subtle notes of mint, honey and wood spice."
Yoichi Single Malt,Japanese Single Malt WhiskyDistillery Bottling,70cl / 45%,4.5,10,£77.75,"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character."
Suntory Toki,Japanese Blended WhiskyDistillery Bottling,70cl / 43%,4,33,£33.95,"Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish."
Hakushu 12 Year Old,Japanese Single Malt Whisky,70cl / 43%,4.5,32,£185,"A perennial favourite and a must-try for anyone interested in discovering Japanese whisky. Hakushu is owned by Suntory, founders of the first Japanese distillery, Yamazaki. The original Hakushu distillery was built in 1973, with another distillery building called Hakushu Higashi (east) added in 1981."
